t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,5.053385436638547645e+01,5.053385436638547645e+01,8.451445879597981881e-01,5.025776274360304469e-02,5.028780440820505848e-02
1.500000000000000118e-02,5.094936819623584512e+01,5.094936819623584512e+01,8.295670422930386811e-01,4.931699577706991772e-02,4.934602598964097503e-02
2.250000000000000264e-02,5.137776880266025614e+01,5.137776880266025614e+01,8.115022542014762585e-01,4.808685202151960492e-02,4.811434787707976474e-02
3.000000000000000236e-02,5.181906135464318908e+01,5.181906135464318908e+01,7.944160301709312089e-01,4.667108276471256673e-02,4.669691217951273121e-02
3.750000000000000555e-02,5.227223749121009888e+01,5.227223749121009888e+01,7.784060283642529887e-01,4.518492573097740439e-02,4.520879212395183255e-02
4.500000000000000527e-02,5.273593728604465269e+01,5.273593728604465269e+01,7.660352418357422311e-01,4.373626892659108339e-02,4.375825818911324716e-02
5.250000000000000500e-02,5.320826829552584059e+01,5.320826829552584059e+01,7.573580737009190100e-01,4.242503618134844251e-02,4.244508971011213411e-02
6.000000000000000472e-02,5.368711848191081515e+01,5.368711848191081515e+01,7.537356360997965465e-01,4.133104819706267391e-02,4.134931154489249194e-02
6.750000000000000444e-02,5.417109402877829893e+01,5.417109402877829893e+01,7.537329435034856306e-01,4.048550118630350747e-02,4.050216103888355096e-02
7.500000000000001110e-02,5.465929760780387880e+01,5.465929760780387880e+01,7.568475459742041167e-01,3.989267130724798160e-02,3.990792587727634566e-02
8.250000000000000389e-02,5.515096588571159231e+01,5.515096588571159231e+01,7.619287682871590528e-01,3.954332658825177732e-02,3.955736642038490403e-02
9.000000000000001055e-02,5.564554964261009928e+01,5.564554964261009928e+01,7.678676894288057886e-01,3.941573023504953144e-02,3.942880830830108874e-02
9.750000000000000333e-02,5.614341272125441407e+01,5.614341272125441407e+01,7.738086159026797972e-01,3.947416645222395770e-02,3.948634830351285818e-02
1.050000000000000100e-01,5.664469212204491555e+01,5.664469212204491555e+01,7.797396157772842340e-01,3.968759394897012488e-02,3.969900603371710052e-02
1.125000000000000028e-01,5.714931022228897461e+01,5.714931022228897461e+01,7.847933804563687055e-01,4.002973157268150534e-02,4.004047984229524432e-02
1.200000000000000094e-01,5.765808160438169949e+01,5.765808160438169949e+01,7.893029891482621352e-01,4.046750589528282094e-02,4.047760763844988202e-02
1.275000000000000022e-01,5.817097996080639177e+01,5.817097996080639177e+01,7.928801194939110175e-01,4.098059113048811014e-02,4.099018836082000267e-02
1.350000000000000089e-01,5.868869093092898481e+01,5.868869093092898481e+01,7.958078664796940371e-01,4.154463683540797481e-02,4.155378580903471009e-02
1.425000000000000155e-01,5.921119990109650644e+01,5.921119990109650644e+01,7.981953578536200578e-01,4.214497957726444366e-02,4.215372832609932952e-02
1.500000000000000222e-01,5.973909695597861713e+01,5.973909695597861713e+01,8.000143524207834478e-01,4.276370840652278515e-02,4.277209434244198111e-02
1.575000000000000011e-01,4.725464314350255046e-01,6.027254643143503188e+01,8.013887158981796155e-01,4.338972834159585124e-02,4.339772172175594689e-02
1.650000000000000078e-01,1.011694672951708673e+00,1.206116946729517139e+02,8.024177323730502520e-01,4.401296064421555965e-02,4.402064934588573869e-02
1.725000000000000144e-01,1.556691961158901627e+00,1.809566919611588958e+02,8.031796188090913891e-01,4.462366900637190770e-02,4.463101370259984352e-02
1.800000000000000211e-01,2.107604833734477712e+00,2.413076048337345014e+02,8.037351137983338445e-01,4.521491508912783147e-02,4.522199365348010536e-02
1.875000000000000278e-01,2.664566803890868751e+00,3.016645668038908639e+02,8.041308302224804416e-01,4.577988666818948171e-02,4.578665351390445726e-02
1.950000000000000067e-01,3.227378751149106773e+00,3.620273787511491150e+02,8.044022035371730661e-01,4.631493117222652833e-02,4.632145740640127018e-02
2.025000000000000133e-01,3.795980296748458382e+00,4.223959802967484620e+02,8.045759740695986872e-01,4.681619470470087252e-02,4.682243043625768791e-02
2.100000000000000200e-01,4.370094712525117941e+00,4.827700947125251787e+02,8.047513710872586934e-01,4.728287783097850222e-02,4.728882996948904904e-02
2.175000000000000266e-01,4.949414453117614521e+00,5.431494144531176289e+02,8.049053018518164127e-01,4.771211742577249892e-02,4.771785214444105444e-02
2.250000000000000056e-01,5.533650475770561350e+00,6.035336504757705143e+02,8.050105322898023497e-01,4.810272899692170229e-02,4.810819028874686182e-02
2.325000000000000122e-01,6.122398806234682134e+00,6.639223988062345825e+02,8.050741776978130870e-01,4.845507971229519317e-02,4.846027171964965158e-02
2.400000000000000189e-01,6.715260690238459063e+00,7.243152606902383468e+02,8.051015679942611358e-01,4.876945290346916539e-02,4.877437732000489828e-02
2.475000000000000255e-01,7.311819178182526358e+00,7.847118191781823953e+02,8.050967118518391752e-01,4.904702071262220103e-02,4.905167937096401726e-02
2.550000000000000044e-01,7.911497442529536350e+00,8.451114974425292985e+02,8.050626426237763589e-01,4.929148149642786914e-02,4.929587544817466693e-02
2.625000000000000111e-01,8.514032644118049831e+00,9.055140326441178331e+02,8.051296338972269151e-01,4.950325332630720054e-02,4.950738267614304688e-02
2.700000000000000178e-01,9.118997602372656885e+00,9.659189976023724284e+02,8.051779773808870333e-01,4.968465725196502536e-02,4.968852298883026652e-02
2.775000000000000244e-01,9.726010930886106465e+00,1.026326010930885786e+03,8.052010200884490709e-01,4.983846518735686459e-02,4.984206668169781362e-02
2.850000000000000311e-01,1.033472244851327204e+01,1.086734722448512912e+03,8.051997639834738152e-01,4.996772714441792551e-02,4.997106468952910996e-02
2.925000000000000377e-01,1.094485742946955753e+01,1.147144857429469084e+03,8.051750331437291797e-01,5.007511830295564154e-02,5.007819181047449414e-02
3.000000000000000444e-01,1.155617489806045484e+01,1.207556174898059908e+03,8.051275199484917433e-01,5.016413051746854146e-02,5.016687966066460391e-02
3.075000000000000511e-01,1.216846672515388583e+01,1.267968466725153348e+03,8.051501353187269228e-01,5.023713492258214536e-02,5.023962022755394663e-02
3.150000000000000022e-01,1.278155409886152860e+01,1.328381554098860988e+03,8.051951372664982731e-01,5.029601547020037117e-02,5.029823654406814781e-02
3.225000000000000089e-01,1.339528627704826746e+01,1.388795286277047580e+03,8.052169541299650790e-01,5.034300446592276240e-02,5.034496110997558477e-02
3.300000000000000155e-01,1.400953623536417503e+01,1.449209536235363430e+03,8.052160131719778846e-01,5.038011162770841822e-02,5.038180502370818298e-02
3.375000000000000222e-01,1.462417932025187817e+01,1.509624179320251187e+03,8.051927155182716511e-01,5.040916514092277229e-02,5.041059584299827090e-02
3.450000000000000289e-01,1.523909372090506054e+01,1.570039093720904248e+03,8.051474421673212589e-01,5.043237762759706505e-02,5.043354772131582869e-02
3.525000000000000355e-01,1.585425941125117788e+01,1.630454259411250405e+03,8.051419731219101594e-01,5.045111020220092307e-02,5.045196914008833605e-02
3.600000000000000422e-01,1.646964534295579696e+01,1.690869645342954982e+03,8.051908552642523809e-01,5.046539923234420744e-02,5.046601820449621995e-02
3.675000000000000488e-01,1.708521363207541910e+01,1.751285213632074601e+03,8.052167783419109659e-01,5.047603699892268952e-02,5.047643865338184016e-02
3.750000000000000555e-01,1.770092147417781803e+01,1.811700921474176994e+03,8.052200921954473234e-01,5.048379800909775367e-02,5.048401849194788377e-02
3.825000000000000067e-01,1.831672418072518838e+01,1.872116724180724304e+03,8.052011408680687099e-01,5.048943315718294050e-02,5.048952077474925387e-02
3.900000000000000133e-01,1.893255567795747751e+01,1.932532555677956452e+03,8.051602633086332172e-01,5.049385463304420507e-02,5.049386791606728930e-02
3.975000000000000200e-01,1.954839110652746115e+01,1.992948391106526515e+03,8.051288738607815798e-01,5.049836005553707402e-02,5.049836005553708096e-02
4.050000000000000266e-01,2.016427935790355619e+01,2.053364279357902433e+03,8.051826455836121887e-01,5.050170573851620048e-02,5.050170573851620048e-02
4.125000000000000333e-01,2.078022942479593738e+01,2.113780229424794925e+03,8.052134261365234691e-01,5.050394031378924176e-02,5.050394031378924176e-02
4.200000000000000400e-01,2.139623182462706552e+01,2.174196231824626466e+03,8.052215550685533074e-01,5.050523061043523526e-02,5.050523061043524220e-02
4.275000000000000466e-01,2.201226264749250205e+01,2.234612262647492116e+03,8.052073689612780916e-01,5.050589141501093948e-02,5.050589141501093948e-02
4.350000000000000533e-01,2.262829061621103932e+01,2.295028290616210597e+03,8.051712014061473965e-01,5.050622664433274123e-02,5.050622664433273429e-02
4.425000000000000600e-01,2.324425322865080901e+01,2.355444253228650723e+03,8.051141222678143139e-01,5.050788091591021378e-02,5.050788091591021378e-02
4.500000000000000111e-01,2.386022943403303387e+01,2.415860229434033045e+03,8.051729390791069196e-01,5.050921376328897788e-02,5.050921376328897094e-02
4.575000000000000178e-01,2.447624278034118106e+01,2.476276242780341363e+03,8.052086965137592589e-01,5.050999147660054089e-02,5.050999147660053396e-02
4.650000000000000244e-01,2.509229405255275935e+01,2.536692294052553279e+03,8.052217331253824772e-01,5.051020505842440667e-02,5.051020505842440667e-02
4.725000000000000311e-01,2.570836649155384279e+01,2.597108366491554534e+03,8.052123849233701058e-01,5.051003379945732258e-02,5.051003379945732258e-02
4.800000000000000377e-01,2.632444022525019278e+01,2.657524440225251055e+03,8.051809852445421800e-01,5.050968670222664991e-02,5.050968670222664297e-02
4.875000000000000444e-01,2.694043819243809068e+01,2.717940438192439160e+03,8.051278646201923683e-01,5.051056957539842157e-02,5.051056957539841463e-02
4.950000000000000511e-01,2.755643098451452389e+01,2.778356430984515555e+03,8.051620746918420890e-01,5.051163769773075324e-02,5.051163769773077405e-02
5.025000000000000577e-01,2.817245419020119002e+01,2.838772454190202552e+03,8.052028390453820350e-01,5.051227975631029238e-02,5.051227975631029238e-02
5.100000000000000089e-01,2.878851278584148687e+01,2.899188512785843159e+03,8.052208075762895545e-01,5.051243384471085923e-02,5.051243384471084535e-02
5.175000000000000711e-01,2.940459273761830872e+01,2.959604592737619896e+03,8.052163125830867907e-01,5.051223864281418480e-02,5.051223864281419174e-02
5.250000000000000222e-01,3.002067010689502524e+01,3.020020670106896887e+03,8.051896762935597529e-01,5.051195652387777124e-02,5.051195652387777124e-02
5.325000000000000844e-01,3.063667533668371945e+01,3.080436675336685767e+03,8.051411994684377627e-01,5.051269660524497496e-02,5.051269660524498190e-02
5.400000000000000355e-01,3.125263050596874592e+01,3.140852630505970865e+03,8.051496766439618646e-01,5.051435272418453026e-02,5.051435272418453026e-02
5.475000000000000977e-01,3.186856867134380167e+01,3.201268568671346202e+03,8.051948165808821001e-01,5.051614785575540140e-02,5.051614785575539446e-02
5.550000000000000488e-01,3.248447290453081138e+01,3.261684472904533322e+03,8.052162453860519653e-01,5.051830166529636817e-02,5.051830166529638205e-02
5.625000000000000000e-01,3.310029753268553065e+01,3.322100297532688273e+03,8.052134229090766038e-01,5.052134029899617296e-02,5.052134029899616602e-02
5.700000000000000622e-01,3.371597136323961053e+01,3.382515971363242443e+03,8.051851421753178917e-01,5.052609473275551655e-02,5.052609473275550961e-02
5.775000000000000133e-01,3.433138379396280726e+01,3.442931383793965779e+03,8.051292585989807682e-01,5.053408676960756407e-02,5.053408676960756407e-02
5.850000000000000755e-01,3.494645410940097463e+01,3.503346454109404476e+03,8.050780176111631548e-01,5.054662737262987510e-02,5.054662737262986816e-02
5.925000000000000266e-01,3.556115555305821374e+01,3.563761155553061599e+03,8.050838759804415101e-01,5.056346161490977986e-02,5.056346161490976598e-02
6.000000000000000888e-01,3.617540161367746521e+01,3.624175401613681061e+03,8.050418547706550410e-01,5.058559711510667023e-02,5.058559711510666329e-02
6.075000000000000400e-01,3.678907308945615284e+01,3.684589073089459816e+03,8.049437527431850814e-01,5.061430145945022135e-02,5.061430145945022829e-02
6.150000000000001021e-01,3.740202664362765006e+01,3.745002026643631780e+03,8.047803597445755130e-01,5.065105461157738687e-02,5.065105461157738687e-02
