t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,6.287849955647967448e+01,6.287849955647967448e+01,8.555325392006946084e-01,5.598905227453458699e-02,5.602564482244925398e-02
1.500000000000000118e-02,6.300844571781323111e+01,6.300844571781323111e+01,8.551644850472295278e-01,5.601013287328926449e-02,5.604661225945008901e-02
2.250000000000000264e-02,6.313883118855472532e+01,6.313883118855472532e+01,8.557389489874470678e-01,5.601702812547918603e-02,5.605339398007092022e-02
3.000000000000000236e-02,6.327020417991126777e+01,6.327020417991126777e+01,8.556591250404391724e-01,5.599885693566451772e-02,5.603501284804773136e-02
3.750000000000000555e-02,6.340070069684937693e+01,6.340070069684937693e+01,8.549919721756500390e-01,5.600599288266372433e-02,5.604203922884920530e-02
4.500000000000000527e-02,6.353084910216833237e+01,6.353084910216833237e+01,8.556572897137166844e-01,5.601972764206394895e-02,5.605566226808482433e-02
5.250000000000000500e-02,6.366194765621876428e+01,6.366194765621876428e+01,8.557393592914481761e-01,5.600732749557808809e-02,5.604305190955254784e-02
6.000000000000000472e-02,6.379299433160658594e+01,6.379299433160658594e+01,8.552183456619703028e-01,5.600022750942120625e-02,5.603584355494790198e-02
6.750000000000000444e-02,6.392292270663299547e+01,6.392292270663299547e+01,8.555239506569678465e-01,5.602023459681820805e-02,5.605573845182922760e-02
7.500000000000001110e-02,6.405375538490167742e+01,6.405375538490167742e+01,8.557752113310004294e-01,5.601367358279290415e-02,5.604896566759594995e-02
8.250000000000000389e-02,6.418533056994392894e+01,6.418533056994392894e+01,8.554067459809611140e-01,5.599249221502476670e-02,5.602767674077197696e-02
9.000000000000001055e-02,6.431505303936427254e+01,6.431505303936427254e+01,8.553422373086606578e-01,5.601834886812323555e-02,5.605342064110941519e-02
9.750000000000000333e-02,6.444563092145718031e+01,6.444563092145718031e+01,8.557688541663048820e-01,5.601898194084597993e-02,5.605394127465234549e-02
1.050000000000000100e-01,6.457721289824173994e+01,6.457721289824173994e+01,8.555580932943700478e-01,5.599577455083457750e-02,5.603052630617615104e-02
1.125000000000000028e-01,6.470723722406505374e+01,6.470723722406505374e+01,8.551119944943048612e-01,5.601414454557489958e-02,5.604878593960702093e-02
1.200000000000000094e-01,6.483757141588405659e+01,6.483757141588405659e+01,8.557192805314567385e-01,5.602168569539651977e-02,5.605621595182688072e-02
1.275000000000000022e-01,6.496888954963756646e+01,6.496888954963756646e+01,8.556708397217744899e-01,5.600376474360298923e-02,5.603808619451974837e-02
1.350000000000000089e-01,6.509947016430334088e+01,6.509947016430334088e+01,8.550335970762736881e-01,5.600787644394360221e-02,5.604208861104614109e-02
1.425000000000000155e-01,6.522957280855187889e+01,6.522957280855187889e+01,8.556245744059987057e-01,5.602204986938622011e-02,5.605615039495388113e-02
1.500000000000000222e-01,6.536061831215646123e+01,6.536061831215646123e+01,8.557430799093216356e-01,5.600988822117305976e-02,5.604377825675677105e-02
1.575000000000000011e-01,6.549174544905980611e+01,6.549174544905980611e+01,8.552557420091299045e-01,5.599988177500334757e-02,5.603366357100270090e-02
