t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
5.625000000000000000e-01,4.438896149886949161e+01,4.114188961498873141e+03,7.856966599969236187e-01,5.601154421263294936e-02,5.601154421263294936e-02
5.700000000000000622e-01,4.527600171497977044e+01,4.194876001714983431e+03,7.856826133658485478e-01,5.601168516878487352e-02,5.601168516878487352e-02
5.775000000000000133e-01,4.616302740234741719e+01,4.275563027402351508e+03,7.856603816739395896e-01,5.601199446241963281e-02,5.601199446241965363e-02
5.850000000000000755e-01,4.705000621834017238e+01,4.356250006218344424e+03,7.856546615469328643e-01,5.601267119293729113e-02,5.601267119293729113e-02
5.925000000000000266e-01,4.793690709787566817e+01,4.436936907097880066e+03,7.856776148431753315e-01,5.601409301453603301e-02,5.601409301453600525e-02
6.000000000000000888e-01,4.882374423986976097e+01,4.517623744239874213e+03,7.856917994690171270e-01,5.601624224877777697e-02,5.601624224877779085e-02
6.075000000000000400e-01,4.971048842422812442e+01,4.598310488424232972e+03,7.856959699802190666e-01,5.601942279345999143e-02,5.601942279345999837e-02
6.150000000000001021e-01,5.059709403131864747e+01,4.678997094031323286e+03,7.856878299095219065e-01,5.602411740366115139e-02,5.602411740366115833e-02
6.225000000000000533e-01,5.148350381549980881e+01,4.759683503815504992e+03,7.856635581674370483e-01,5.603091199009364171e-02,5.603091199009364171e-02
6.300000000000000044e-01,5.236963987279526833e+01,4.840369639872800690e+03,7.856174386493952611e-01,5.604056218166189596e-02,5.604056218166191677e-02
6.375000000000000666e-01,5.325541639549022932e+01,4.921055416395495740e+03,7.855417146473145928e-01,5.605384415736551496e-02,5.605384415736549414e-02
6.450000000000000178e-01,5.414071364687233512e+01,5.001740713646878248e+03,7.854965686378017065e-01,5.607167404591421878e-02,5.607167404591421878e-02
6.525000000000000799e-01,5.502545659092543673e+01,5.082425456590931390e+03,7.854089161610091629e-01,5.609475328513260917e-02,5.609475328513260917e-02
6.600000000000000311e-01,5.590956826783818912e+01,5.163109568267844224e+03,7.852639068761855246e-01,5.612378536377280597e-02,5.612378536377281291e-02
6.675000000000000933e-01,5.679294849496115916e+01,5.243792948494967277e+03,7.850483729398031185e-01,5.615952065351390715e-02,5.615952065351391409e-02
6.750000000000000444e-01,5.767548828097161362e+01,5.324475488280978425e+03,7.847481180297846137e-01,5.620269164584322519e-02,5.620269164584321825e-02
6.825000000000001066e-01,5.855707541226619384e+01,5.405157075412273116e+03,7.843862772022677232e-01,5.625396999994930480e-02,5.625396999994930480e-02
6.900000000000000577e-01,5.943759203848578210e+01,5.485837592038492403e+03,7.839861542912597292e-01,5.631397686288189958e-02,5.631397686288191345e-02
6.975000000000000089e-01,6.031692568388680797e+01,5.566516925683893533e+03,7.834671063268252578e-01,5.638315962609594806e-02,5.638315962609596194e-02
