t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,6.330347179169557847e+01,6.330347179169557847e+01,8.358614012973790697e-01,5.547307742050221896e-02,5.550805335351356729e-02
1.500000000000000118e-02,6.388492631729208426e+01,6.388492631729208426e+01,8.049083321214690612e-01,5.396741326727994004e-02,5.400088107382544633e-02
2.250000000000000264e-02,6.448832743607400175e+01,6.448832743607400175e+01,7.692536094745241471e-01,5.208555429928519304e-02,5.211693508263811475e-02
3.000000000000000236e-02,6.511245993586274494e+01,6.511245993586274494e+01,7.349300146719461857e-01,5.006295318232958230e-02,5.009187770494819003e-02
3.750000000000000555e-02,6.575461650136550418e+01,6.575461650136550418e+01,7.048630130964583795e-01,4.811618989253839407e-02,4.814244075180713900e-02
4.500000000000000527e-02,6.641096375040153532e+01,6.641096375040153532e+01,6.839701149728399932e-01,4.641274217327535229e-02,4.643645611406805457e-02
5.250000000000000500e-02,6.707780031499706297e+01,6.707780031499706297e+01,6.740042269182049406e-01,4.503898271842358275e-02,4.506028709925993803e-02
6.000000000000000472e-02,6.775216755886374642e+01,6.775216755886374642e+01,6.736913929060002193e-01,4.401612730319551248e-02,4.403528909998706553e-02
6.750000000000000444e-02,6.843232697183475466e+01,6.843232697183475466e+01,6.800040147650744382e-01,4.332627227857553665e-02,4.334362946339485878e-02
7.500000000000001110e-02,6.911722770374760216e+01,6.911722770374760216e+01,6.902216486878793855e-01,4.293391489987122972e-02,4.294968470664040777e-02
8.250000000000000389e-02,6.980688084519918846e+01,6.980688084519918846e+01,7.023881837919352389e-01,4.279482889275936647e-02,4.280925767838941048e-02
9.000000000000001055e-02,7.050160747964172003e+01,7.050160747964172003e+01,7.152333493094074068e-01,4.286383657348373510e-02,4.287713654309405903e-02
9.750000000000000333e-02,7.120180999439939740e+01,7.120180999439939740e+01,7.273947703095706707e-01,4.310215404488874913e-02,4.311450360592609943e-02
1.050000000000000100e-01,7.190797457688520922e+01,7.190797457688520922e+01,7.384579165680140722e-01,4.347551433203925703e-02,4.348706141337757569e-02
1.125000000000000028e-01,7.262081703541403499e+01,7.262081703541403499e+01,7.480997842471469594e-01,4.395267065149090213e-02,4.396353665592891979e-02
1.200000000000000094e-01,7.334063017681542362e+01,7.334063017681542362e+01,7.562957935766735362e-01,4.450964411022072242e-02,4.451992835459538805e-02
1.275000000000000022e-01,7.406814448952246721e+01,7.406814448952246721e+01,7.629926863530099856e-01,4.512339017852513151e-02,4.513314066800421659e-02
1.350000000000000089e-01,7.480355217255151956e+01,7.480355217255151956e+01,7.683867426018287095e-01,4.577770763168247103e-02,4.578702555590250661e-02
1.425000000000000155e-01,7.554733205741273139e+01,7.554733205741273139e+01,7.726530843794463532e-01,4.645691308181387758e-02,4.646585307338823440e-02
1.500000000000000222e-01,7.629983170111819391e+01,7.629983170111819391e+01,7.759437157341897429e-01,4.714834906307904805e-02,4.715692503406312963e-02
1.575000000000000011e-01,7.706124124994816782e+01,7.706124124994816782e+01,7.785289190290799466e-01,4.784140621171264346e-02,4.784965650011575866e-02
1.650000000000000078e-01,7.783182959045549865e+01,7.783182959045549865e+01,7.804893968972225204e-01,4.852684618187244614e-02,4.853483269498121144e-02
1.725000000000000144e-01,7.861168221814730828e+01,7.861168221814730828e+01,7.819466220144144497e-01,4.919730596150020951e-02,4.920502498777696437e-02
1.800000000000000211e-01,7.940089429118309283e+01,7.940089429118309283e+01,7.830310596655252198e-01,4.984614870006249393e-02,4.985362244558703970e-02
1.875000000000000278e-01,3.993867305370890630e-01,8.019938673053709977e+01,7.838641399305559254e-01,5.046855781105453326e-02,5.047580458955351623e-02
1.950000000000000067e-01,1.206960998184902989e+00,1.608069609981849339e+02,7.844245324120601159e-01,5.106015515356841783e-02,5.106719007571954710e-02
2.025000000000000133e-01,2.023444099045255129e+00,2.414234440990452981e+02,7.848425476273835910e-01,5.161720804395675960e-02,5.162404397197276062e-02
2.100000000000000200e-01,2.848407801058431943e+00,3.220484078010584881e+02,7.851846795683308233e-01,5.213736680703850296e-02,5.214401419875928922e-02
2.175000000000000266e-01,3.681467033906951958e+00,4.026814670339069835e+02,7.854102745364170968e-01,5.261849767973644787e-02,5.262493585946721036e-02
2.250000000000000056e-01,4.522193699211953799e+00,4.833221936992119936e+02,7.855496927119829387e-01,5.305942960697038885e-02,5.306569407033247254e-02
2.325000000000000122e-01,5.369960165392008378e+00,5.639699601653921945e+02,7.856250610948752877e-01,5.345975203183770535e-02,5.346581962996126147e-02
2.400000000000000189e-01,6.224192052052375246e+00,6.446241920520524218e+02,7.857443723805168645e-01,5.381950041633620091e-02,5.382540367305373857e-02
2.475000000000000255e-01,7.084222948866059077e+00,7.252842229488661587e+02,7.858220295463450578e-01,5.413954114596604417e-02,5.414525391476104205e-02
2.550000000000000044e-01,7.949237249889237411e+00,8.059492372498892792e+02,7.858662305847161633e-01,5.442179478048535246e-02,5.442734825590075237e-02
2.625000000000000111e-01,8.818556763207038074e+00,8.866185567632070388e+02,7.858826450383344930e-01,5.466827473104898111e-02,5.467364085016285236e-02
2.700000000000000178e-01,9.691319097527749449e+00,9.672913190975276621e+02,7.858751743202064821e-01,5.488234372077670231e-02,5.488752299676891849e-02
2.775000000000000244e-01,1.056689719970983177e+01,1.047966897199709592e+03,7.858954054593322303e-01,5.506668972995030359e-02,5.507168232948538023e-02
2.850000000000000311e-01,1.144460011026595936e+01,1.128644600110265856e+03,7.859326222909618354e-01,5.522434766421761149e-02,5.522918192139176369e-02
2.925000000000000377e-01,1.232380212294763133e+01,1.209323802122947427e+03,7.859520993815587442e-01,5.535892694546443171e-02,5.536357374698291922e-02
3.000000000000000444e-01,1.320410413494823310e+01,1.290004104134947966e+03,7.859547688215803296e-01,5.547283322537571032e-02,5.547729152574619460e-02
3.075000000000000511e-01,1.408510371860053034e+01,1.370685103718600203e+03,7.859412364956458452e-01,5.556917051810818936e-02,5.557343977810664387e-02
3.150000000000000022e-01,1.496658645475342730e+01,1.451366586454753133e+03,7.859118811112150160e-01,5.565024100551887315e-02,5.565432047331635157e-02
3.225000000000000089e-01,1.584840093327257549e+01,1.532048400933272205e+03,7.859372395409583989e-01,5.571789205893181579e-02,5.572181036764902590e-02
3.300000000000000155e-01,1.673040469256767437e+01,1.612730404692567163e+03,7.859610529162714965e-01,5.577416928133633461e-02,5.577789679481200830e-02
3.375000000000000222e-01,1.761253301779714775e+01,1.693412533017796704e+03,7.859702173626327282e-01,5.582069195203978595e-02,5.582422817526423720e-02
3.450000000000000289e-01,1.849477423431716971e+01,1.774094774234316674e+03,7.859647292877058877e-01,5.585867212118175024e-02,5.586201690366052186e-02
3.525000000000000355e-01,1.937711037569636829e+01,1.854777110375695884e+03,7.859445417027349778e-01,5.588936476106570045e-02,5.589251784126429701e-02
3.600000000000000422e-01,2.025951532457101933e+01,1.935459515324570475e+03,7.859143565872818149e-01,5.591423582791885116e-02,5.591719720242082498e-02
3.675000000000000488e-01,2.114196704308490737e+01,2.016141967043084151e+03,7.859479382198170105e-01,5.593423651176371997e-02,5.593703550342957187e-02
3.750000000000000555e-01,2.202446661450655796e+01,2.096824466614506036e+03,7.859673850470011436e-01,5.595007812670788061e-02,5.595268540364857490e-02
3.825000000000000067e-01,2.290695335103940522e+01,2.177506953351038646e+03,7.859725772622011553e-01,5.596271582971275305e-02,5.596513170709433577e-02
3.900000000000000133e-01,2.378948422390446282e+01,2.258189484223903946e+03,7.859633861366029928e-01,5.597252802347452150e-02,5.597475233652926541e-02
3.975000000000000200e-01,2.467206253721851184e+01,2.338872062537218426e+03,7.859396765407273833e-01,5.598005428119992577e-02,5.598208770281862257e-02
4.050000000000000266e-01,2.555467130851710067e+01,2.419554671308517300e+03,7.859233772692904019e-01,5.598611169665208137e-02,5.598795415059225344e-02
4.125000000000000333e-01,2.643731573911630051e+01,2.500237315739116639e+03,7.859537769489964854e-01,5.599072458565897137e-02,5.599240577891646115e-02
4.200000000000000400e-01,2.731998764930351342e+01,2.580919987649303948e+03,7.859700958275503968e-01,5.599416693134487422e-02,5.599565786884025398e-02
4.275000000000000466e-01,2.820261904436248557e+01,2.661602619044363109e+03,7.859721892920594755e-01,5.599695817775125067e-02,5.599825891802231309e-02
4.350000000000000533e-01,2.908526616141573129e+01,2.742285266161416530e+03,7.859599110390474985e-01,5.599902813424079834e-02,5.600013943847474002e-02
4.425000000000000600e-01,2.996793557758820370e+01,2.822967935577589287e+03,7.859331134774850680e-01,5.600059359781676960e-02,5.600151610105741362e-02
4.500000000000000111e-01,3.085061916178516839e+01,2.903650619161786381e+03,7.859309453093620279e-01,5.600197333627576074e-02,5.600270858145036529e-02
4.575000000000000178e-01,3.173332642607620002e+01,2.984333326426077292e+03,7.859584059147259882e-01,5.600294890075995652e-02,5.600352946610272220e-02
4.650000000000000244e-01,3.261604286288221743e+01,3.065016042862883751e+03,7.859717671257872018e-01,5.600362216350635025e-02,5.600402735107595786e-02
4.725000000000000311e-01,3.349870407809268613e+01,3.145698704078094124e+03,7.859708807029308630e-01,5.600432892357645048e-02,5.600457521905250619e-02
4.800000000000000377e-01,3.438138241439092013e+01,3.226381382414392647e+03,7.859555977499544932e-01,5.600478583157148665e-02,5.600490227061287463e-02
4.875000000000000444e-01,3.526407420378225055e+01,3.307064074203784457e+03,7.859257688200245173e-01,5.600521272137728990e-02,5.600524257688167112e-02
4.950000000000000511e-01,3.614677827258792320e+01,3.387746778272590291e+03,7.859377931405282514e-01,5.600567574017416284e-02,5.600567621289791881e-02
5.025000000000000577e-01,3.702950270923928144e+01,3.468429502709241660e+03,7.859623440908871661e-01,5.600595134784318307e-02,5.600595134784317614e-02
5.100000000000000089e-01,3.791221969893273780e+01,3.549112219698935405e+03,7.859727666550881953e-01,5.600615918261212661e-02,5.600615918261211967e-02
5.175000000000000711e-01,3.879489291447644916e+01,3.629794892914479078e+03,7.859689119821448022e-01,5.600647138123852203e-02,5.600647138123852203e-02
5.250000000000000222e-01,3.967758435125536920e+01,3.710477584351258429e+03,7.859506307222046129e-01,5.600662746673010922e-02,5.600662746673008840e-02
5.325000000000000844e-01,4.056028637784283575e+01,3.791160286377845750e+03,7.859177730871316214e-01,5.600690233564536991e-02,5.600690233564537684e-02
5.400000000000000355e-01,4.144300321339683535e+01,3.871843003213400152e+03,7.859440249634385145e-01,5.600718836345988660e-02,5.600718836345990048e-02
5.475000000000000977e-01,4.232573830543677929e+01,3.952525738305440427e+03,7.859656649203516920e-01,5.600733100477438275e-02,5.600733100477438969e-02
5.550000000000000488e-01,4.320845023382047145e+01,4.033208450233823896e+03,7.859731453223788300e-01,5.600751101598119147e-02,5.600751101598117759e-02
5.625000000000000000e-01,4.409113181051782959e+01,4.113891131810521983e+03,7.859663149218020228e-01,5.600777054540158340e-02,5.600777054540157646e-02
5.700000000000000622e-01,4.497382744660740173e+01,4.194573827446611176e+03,7.859450159249121715e-01,5.600794984843852214e-02,5.600794984843852908e-02
5.775000000000000133e-01,4.585652257196407788e+01,4.275256522571968162e+03,7.859168330428319971e-01,5.600842999091352331e-02,5.600842999091353025e-02
5.850000000000000755e-01,4.673921483271077904e+01,4.355939214832715152e+03,7.859494588453609376e-01,5.600906726708821531e-02,5.600906726708821531e-02
5.925000000000000266e-01,4.762188441101087477e+01,4.436621884411015344e+03,7.859677663887822963e-01,5.600997152164299137e-02,5.600997152164299830e-02
