t,A,Iuv
4.050000000000000266e-01,8.549521465676589438e-01,5.929921217481524953e-02
4.125000000000000333e-01,8.556601271411181653e-01,5.931250154686341924e-02
4.200000000000000400e-01,8.557236451274031763e-01,5.930071387556842127e-02
4.275000000000000466e-01,8.551869369136381183e-01,5.929524049846045253e-02
4.350000000000000533e-01,8.555343080322483917e-01,5.931452286503826471e-02
4.425000000000000600e-01,8.557679284855388424e-01,5.930969945775012991e-02
4.500000000000000111e-01,8.553839558240616814e-01,5.928984156291154661e-02
4.575000000000000178e-01,8.553602887629419005e-01,5.931483018619310155e-02
4.650000000000000244e-01,8.557689247411282008e-01,5.931675768988608349e-02
4.725000000000000311e-01,8.555421097443979273e-01,5.929290097911492363e-02
4.800000000000000377e-01,8.551366814591955245e-01,5.931349906551487000e-02
4.875000000000000444e-01,8.557253818463618211e-01,5.932191700489953395e-02
4.950000000000000511e-01,8.556602732088426366e-01,5.930464381450359368e-02
5.025000000000000577e-01,8.550080753941790013e-01,5.931060574263388729e-02
5.100000000000000089e-01,8.556360126499366059e-01,5.932523658326047805e-02
5.175000000000000711e-01,8.557372881584174307e-01,5.931499977340342483e-02
5.250000000000000222e-01,8.552344818574982854e-01,5.930622664358682627e-02
5.325000000000000844e-01,8.554994942592207829e-01,5.932678648156985285e-02
5.400000000000000355e-01,8.557719632642257768e-01,5.932347320882108005e-02
5.475000000000000977e-01,8.554228741650983237e-01,5.930047857578170378e-02
5.550000000000000488e-01,8.553144674190552577e-01,5.932664092663655908e-02
5.625000000000000000e-01,8.557630732578990207e-01,5.933002254876110909e-02
5.700000000000000622e-01,8.555721516625037770e-01,5.930748473572432927e-02
5.775000000000000133e-01,8.550795359100761273e-01,5.932487569445361181e-02
5.850000000000000755e-01,8.557093582713153346e-01,5.933468637433042536e-02
5.925000000000000266e-01,8.556811816299593199e-01,5.931896516250707158e-02
6.000000000000000888e-01,8.550621435530075809e-01,5.932156705379239281e-02
6.075000000000000400e-01,8.556095231880689322e-01,5.933752726353400120e-02
6.150000000000001021e-01,8.557487986018142978e-01,5.932883664070342372e-02
6.225000000000000533e-01,8.552801122131451494e-01,5.931679140700207159e-02
6.300000000000000044e-01,8.554622370092875849e-01,5.933861653327549696e-02
6.375000000000000666e-01,8.557738036913566937e-01,5.933680367613344137e-02
6.450000000000000178e-01,8.554598224252081273e-01,5.931154744876068058e-02
6.525000000000000799e-01,8.552661322366117425e-01,5.933802886067889026e-02
6.600000000000000311e-01,8.557549639231988303e-01,5.934285317503710383e-02
