t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,6.323667166585889277e+01,6.323667166585889277e+01,8.402832205677592814e-01,5.557891049533858485e-02,5.561408659507083296e-02
1.500000000000000118e-02,6.374735208587060242e+01,6.374735208587060242e+01,8.159210055209333845e-01,5.429991850213746613e-02,5.433381928826128832e-02
2.250000000000000264e-02,6.427633276591976141e+01,6.427633276591976141e+01,7.888921189065243311e-01,5.266771105023038829e-02,5.269972100062463721e-02
3.000000000000000236e-02,6.482256876556949976e+01,6.482256876556949976e+01,7.619036686307196771e-01,5.086536750031060705e-02,5.089520986920236661e-02
3.750000000000000555e-02,6.538465838591305612e+01,6.538465838591305612e+01,7.385488930229034965e-01,4.905934406998497394e-02,4.908675344253580347e-02
4.500000000000000527e-02,6.595939020090463600e+01,6.595939020090463600e+01,7.208799811765315146e-01,4.741270933275675004e-02,4.743768701507537766e-02
5.250000000000000500e-02,6.654416771344692449e+01,6.654416771344692449e+01,7.105054861447046566e-01,4.602552629334509537e-02,4.604827518906606104e-02
6.000000000000000472e-02,6.713638217038236178e+01,6.713638217038236178e+01,7.078717903583647830e-01,4.494707045664126516e-02,4.496773700887039815e-02
6.750000000000000444e-02,6.773394615589792522e+01,6.773394615589792522e+01,7.112516318137994675e-01,4.418558324729178477e-02,4.420441851799198490e-02
7.500000000000001110e-02,6.833602036856075301e+01,6.833602036856075301e+01,7.183566473002935826e-01,4.371708260381455824e-02,4.373433843119881037e-02
8.250000000000000389e-02,6.894221963573964729e+01,6.894221963573964729e+01,7.272700226634596365e-01,4.350415659516019412e-02,4.352006522733906091e-02
9.000000000000001055e-02,6.955251019068033713e+01,6.955251019068033713e+01,7.372498509939257039e-01,4.350984457192374338e-02,4.352456649066017286e-02
9.750000000000000333e-02,7.016722262734710114e+01,7.016722262734710114e+01,7.466600468106816546e-01,4.369342016774355186e-02,4.370717864351457427e-02
1.050000000000000100e-01,7.078672379327301201e+01,7.078672379327301201e+01,7.555853671238269564e-01,4.402055691745853511e-02,4.403349844341212377e-02
1.125000000000000028e-01,7.141149956999116455e+01,7.141149956999116455e+01,7.632824228357095731e-01,4.446002062287083417e-02,4.447226701736130272e-02
