t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,3.671292681870949082e+01,3.671292681870949082e+01,8.498414273419263587e-01,5.829597229013093462e-02,5.830698531370070992e-02
1.500000000000000118e-02,3.701643832338591977e+01,3.701643832338591977e+01,8.425443746685371549e-01,5.770007211444736633e-02,5.771082061129782781e-02
2.250000000000000264e-02,3.732730233641486706e+01,3.732730233641486706e+01,8.340566764671892841e-01,5.692119123011464554e-02,5.693158996944882450e-02
3.000000000000000236e-02,3.764563465323136882e+01,3.764563465323136882e+01,8.260071143800891136e-01,5.600031175303724768e-02,5.601029072207149712e-02
3.750000000000000555e-02,3.797100802846556888e+01,3.797100802846556888e+01,8.179312458675622732e-01,5.499464348481480913e-02,5.500409937975322267e-02
4.500000000000000527e-02,3.830254435160255611e+01,3.830254435160255611e+01,8.117080618211205412e-01,5.397078177405139482e-02,5.397973818074668778e-02
5.250000000000000500e-02,3.864013357809970728e+01,3.864013357809970728e+01,8.069885093717059643e-01,5.297256883666879440e-02,5.298101690604326008e-02
6.000000000000000472e-02,3.898251650403707202e+01,3.898251650403707202e+01,8.037405119193616887e-01,5.206241302000630400e-02,5.207031541443925271e-02
6.750000000000000444e-02,3.932925477912856138e+01,3.932925477912856138e+01,8.023658949015580744e-01,5.127419816667630470e-02,5.128162466109813244e-02
7.500000000000001110e-02,3.967899567672270678e+01,3.967899567672270678e+01,8.026307601159768934e-01,5.064951418238754222e-02,5.065645996907159471e-02
8.250000000000000389e-02,4.003173947002070321e+01,4.003173947002070321e+01,8.035441885602450096e-01,5.019077427853411988e-02,5.019732069023580961e-02
9.000000000000001055e-02,4.038662892010400896e+01,4.038662892010400896e+01,8.057276478594936897e-01,4.990695824406822523e-02,4.991310798676621557e-02
9.750000000000000333e-02,4.074371512392333727e+01,4.074371512392333727e+01,8.081233984331491760e-01,4.978509587533022640e-02,4.979092931096114338e-02
1.050000000000000100e-01,4.110264714818242027e+01,4.110264714818242027e+01,8.104849955967707853e-01,4.981412136691980297e-02,4.981964015181220007e-02
1.125000000000000028e-01,4.146344433627086801e+01,4.146344433627086801e+01,8.127139668139178319e-01,4.997380806115211960e-02,4.997904653303877204e-02
1.200000000000000094e-01,4.182651153355874385e+01,4.182651153355874385e+01,8.147286735624977849e-01,5.023855171723391744e-02,5.024357420477227471e-02
1.275000000000000022e-01,4.219171445092950989e+01,4.219171445092950989e+01,8.164779357213658439e-01,5.059188753608968858e-02,5.059668671054838585e-02
1.350000000000000089e-01,4.255928643334387118e+01,4.255928643334387118e+01,8.179381836476198320e-01,5.101336005047994726e-02,5.101795758522689739e-02
1.425000000000000155e-01,4.292964813033554350e+01,4.292964813033554350e+01,8.191060305251253171e-01,5.148208550124082350e-02,5.148653118738264617e-02
1.500000000000000222e-01,4.330292486692173526e+01,4.330292486692173526e+01,8.199910020874972005e-01,5.198346268822629651e-02,5.198774180653156080e-02
1.575000000000000011e-01,4.367924959627465142e+01,4.367924959627465142e+01,8.206098553164901110e-01,5.250373490035236540e-02,5.250786026702033982e-02
1.650000000000000078e-01,4.405883086667610371e+01,4.405883086667610371e+01,8.209855618605508276e-01,5.303042883180977135e-02,5.303441115327411914e-02
1.725000000000000144e-01,4.444192313672419203e+01,4.444192313672419203e+01,8.215221347468310009e-01,5.355238196682192420e-02,5.355626076245643963e-02
1.800000000000000211e-01,4.482857519686962888e+01,4.482857519686962888e+01,8.218543727171395696e-01,5.406210340603340853e-02,5.406585695347267129e-02
1.875000000000000278e-01,4.521890207583879118e+01,4.521890207583879118e+01,8.219962784715380000e-01,5.455139389945416056e-02,5.455502841724577806e-02
1.950000000000000067e-01,4.561275161969327030e+01,4.561275161969327030e+01,8.220878451123677655e-01,5.501700144471047965e-02,5.502052204615844738e-02
2.025000000000000133e-01,4.601037032374333791e+01,4.601037032374333791e+01,8.223233275539307829e-01,5.545185797654891141e-02,5.545526973542067029e-02
2.100000000000000200e-01,4.641163798780839045e+01,4.641163798780839045e+01,8.223920820325877346e-01,5.585335561336288862e-02,5.585666257639119309e-02
2.175000000000000266e-01,4.681619172053142819e+01,4.681619172053142819e+01,8.223034533552047165e-01,5.622160625198936029e-02,5.622481118585940379e-02
2.250000000000000056e-01,4.722408872233018684e+01,4.722408872233018684e+01,8.224861648204038200e-01,5.655405015477899672e-02,5.655715532308278060e-02
2.325000000000000122e-01,4.763512608243870972e+01,4.763512608243870972e+01,8.225457620647728119e-01,5.685001859618947495e-02,5.685302580077036122e-02
2.400000000000000189e-01,4.804890138764016427e+01,4.804890138764016427e+01,8.224549619795120670e-01,5.711176489210634255e-02,5.711467660281452363e-02
2.475000000000000255e-01,4.846529579338915994e+01,4.846529579338915994e+01,8.225284491597658620e-01,5.733989530273320145e-02,5.734268411672998472e-02
2.550000000000000044e-01,4.888403123399312022e+01,4.888403123399312022e+01,8.226039104439599736e-01,5.753633611131260539e-02,5.753903133980567408e-02
2.625000000000000111e-01,4.930485012546172641e+01,4.930485012546172641e+01,8.225308573246520316e-01,5.770330042245158664e-02,5.770590266166693988e-02
2.700000000000000178e-01,4.972749559626125659e+01,4.972749559626125659e+01,8.225212755798626540e-01,5.784355073493897825e-02,5.784606043300673933e-02
